subject_id,task_id,video_exists,audio_exists,physio_exists,video_duration,audio_duration,physio_duration,status,details
bfl5,stroop,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
f6q3,breathing,True,False,True,180.0,0.0,180.0,Missing Voice,No audio file
bfl5,video1,True,False,True,174.0,0.0,174.0,Missing Voice,No audio file
chdf,video2,True,False,True,118.0,0.0,118.0,Missing Voice,No audio file
dmbd,baseline,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
wfsl,stroop,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
8i4i,counting3,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
f6q3,video1,True,False,True,174.0,0.0,174.0,Missing Voice,No audio file
uyrl,reading,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
y8c3,counting2,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
k2v7,counting3,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
qx2o,relax,False,False,True,0.0,0.0,150.0,Missing Voice,No video file; No audio file
g7r2,counting2,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
chdf,speaking,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
9j3o,video2,True,False,True,118.0,0.0,118.0,Missing Voice,No audio file
kycf,math,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
ql3b,video2,False,False,True,0.0,0.0,118.0,Missing Voice,No video file; No audio file
a1k9,counting3,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
chdf,math,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
y9z6,reading,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
u3v9,counting2,False,True,True,0.0,60.0,60.0,Missing Face,No video file
b2l8,counting2,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
w2t5,reading,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
c3m7,baseline,True,False,True,60.0,0.0,60.0,Missing Voice,No audio file
uyrl,counting1,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
9txq,counting2,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
h7j3,counting2,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
ctzy,baseline,True,False,True,60.0,0.0,60.0,Missing Voice,No audio file
9j3o,speaking,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
ql3b,speaking,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
9j3o,math,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
bfl5,video2,True,False,True,118.0,0.0,118.0,Missing Voice,No audio file
hh2e,counting3,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
uyrl,relax,False,False,True,0.0,0.0,150.0,Missing Voice,No video file; No audio file
m8g5,counting1,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
4e8r,counting2,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
wfsl,video2,False,False,True,0.0,0.0,118.0,Missing Voice,No video file; No audio file
iqyg,counting2,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
37ir,stroop,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
p9i3,breathing,True,False,True,180.0,0.0,180.0,Missing Voice,No audio file
p9i3,stroop,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
bfl5,speaking,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
y9z6,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
7h5u,counting3,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
p9i3,video1,True,False,True,174.0,0.0,174.0,Missing Voice,No audio file
qw5t,counting1,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
w2t5,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
4woj,counting2,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
6k5f,counting2,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
wfsl,math,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
k67g,reading,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
5f7t,stroop,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
final,physio,False,False,True,0.0,0.0,1.292,Missing Voice,No video file; No audio file
cxj0,counting2,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
g9j5,counting2,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
r5s8,math,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
d4n6,breathing,True,False,True,180.0,0.0,180.0,Missing Voice,No audio file
h8r2,reading,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
d4n6,stroop,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
hvpa,counting1,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
d4n6,video1,True,False,True,174.0,0.0,174.0,Missing Voice,No audio file
45lx,reading,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
i9t9,counting2,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
37ir,video2,False,False,True,0.0,0.0,118.0,Missing Voice,No video file; No audio file
j9h8,counting2,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
6k5f,breathing,True,False,True,180.0,0.0,180.0,Missing Voice,No audio file
2z7d,math,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
p9i3,video2,True,False,True,118.0,0.0,118.0,Missing Voice,No audio file
r0a3,breathing,False,False,True,0.0,0.0,180.0,Missing Voice,No video file; No audio file
6k5f,video1,True,False,True,174.0,0.0,174.0,Missing Voice,No audio file
r0a3,stroop,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
k67g,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
r0a3,video1,False,False,True,0.0,0.0,174.0,Missing Voice,No video file; No audio file
9t6n,baseline,True,False,True,60.0,0.0,60.0,Missing Voice,No audio file
5f7t,video2,True,False,True,118.0,0.0,118.0,Missing Voice,No audio file
kycf,counting3,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
7m3c,counting2,False,True,True,0.0,60.0,60.0,Missing Face,No video file
p9i3,speaking,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
37ir,math,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
45lx,counting1,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
wssm,counting3,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
h8r2,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
6g6y,counting2,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
5f7t,speaking,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
c3m7,stroop,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
45lx,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
5f7t,math,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
d4n6,video2,True,False,True,118.0,0.0,118.0,Missing Voice,No audio file
x1q3,counting1,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
k2v7,baseline,True,False,True,60.0,0.0,60.0,Missing Voice,No audio file
j1u8,reading,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
2ea4,counting1,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
a1k9,baseline,True,False,True,60.0,0.0,60.0,Missing Voice,No audio file
k67g,baseline,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
d4n6,speaking,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
e5p4,reading,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
tmvd,reading,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
71i5,math,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
t6v9,reading,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
2ea4,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
r0a3,speaking,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
dmbd,math,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
j1u8,counting1,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
2hpu,breathing,True,False,True,180.0,0.0,180.0,Missing Voice,No audio file
2hpu,stroop,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
c3m7,video2,True,False,True,118.0,0.0,118.0,Missing Voice,No audio file
2hpu,video1,True,False,True,174.0,0.0,174.0,Missing Voice,No audio file
tmvd,counting1,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
8g4y,breathing,True,False,True,180.0,0.0,180.0,Missing Voice,No audio file
r3zm,reading,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
ql3b,counting1,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
j1u8,relax,False,False,True,0.0,0.0,150.0,Missing Voice,No video file; No audio file
f6q3,reading,True,False,True,60.0,0.0,60.0,Missing Voice,No audio file
b9w0,math,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
8g4y,stroop,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
uyrl,counting2,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
r5s8,counting3,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
8g4y,video1,True,False,True,174.0,0.0,174.0,Missing Voice,No audio file
g7r2,counting3,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
e5p4,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
tmvd,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
u3v9,counting3,False,True,True,0.0,60.0,60.0,Missing Face,No video file
b2l8,counting3,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
t6v9,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
v8mh,breathing,True,False,True,180.0,0.0,180.0,Missing Voice,No audio file
m8g5,counting2,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
c3m7,math,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
2z7d,counting3,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
ctzy,math,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
uymz,breathing,True,False,True,180.0,0.0,180.0,Missing Voice,No audio file
v8mh,video1,True,False,True,174.0,0.0,174.0,Missing Voice,No audio file
bfl5,counting1,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
9txq,counting3,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
h7j3,counting3,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
uymz,stroop,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
uymz,video1,True,False,True,174.0,0.0,174.0,Missing Voice,No audio file
9t6n,breathing,True,False,True,180.0,0.0,180.0,Missing Voice,No audio file
9t6n,stroop,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
qw5t,counting2,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
9t6n,video1,True,False,True,174.0,0.0,174.0,Missing Voice,No audio file
4e8r,counting3,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
r3zm,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
f6q3,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
2hpu,video2,True,False,True,118.0,0.0,118.0,Missing Voice,No audio file
iqyg,counting3,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
y8c3,reading,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
qx2o,math,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
8g4y,video2,True,False,True,118.0,0.0,118.0,Missing Voice,No audio file
8i4i,breathing,True,False,True,180.0,0.0,180.0,Missing Voice,No audio file
g7r2,reading,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
8i4i,stroop,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
2hpu,speaking,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
8i4i,video1,True,False,True,174.0,0.0,174.0,Missing Voice,No audio file
u3v9,reading,False,True,True,0.0,60.0,60.0,Missing Face,No video file
k2v7,breathing,True,False,True,180.0,0.0,180.0,Missing Voice,No audio file
t6v9,baseline,True,False,True,60.0,0.0,60.0,Missing Voice,No audio file
b2l8,reading,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
k2v7,stroop,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
8g4y,speaking,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
hvpa,counting2,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
k2v7,video1,True,False,True,174.0,0.0,174.0,Missing Voice,No audio file
kkf5,breathing,True,False,True,180.0,0.0,180.0,Missing Voice,No audio file
qw5t,breathing,True,False,True,180.0,0.0,180.0,Missing Voice,No audio file
a1k9,breathing,True,False,True,180.0,0.0,180.0,Missing Voice,No audio file
uymz,video2,True,False,True,118.0,0.0,118.0,Missing Voice,No audio file
9txq,reading,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
h7j3,reading,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
kkf5,video1,True,False,True,174.0,0.0,174.0,Missing Voice,No audio file
a1k9,stroop,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
wssm,baseline,True,False,True,60.0,0.0,60.0,Missing Voice,No audio file
qw5t,video1,True,False,True,174.0,0.0,174.0,Missing Voice,No audio file
71i5,counting3,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
a1k9,video1,True,False,True,174.0,0.0,174.0,Missing Voice,No audio file
9t6n,video2,True,False,True,118.0,0.0,118.0,Missing Voice,No audio file
v8mh,speaking,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
p9i3,counting1,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
y8c3,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
uymz,speaking,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
j9h8,counting3,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
hh2e,breathing,False,False,True,0.0,0.0,180.0,Missing Voice,No video file; No audio file
y9z6,math,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
45lx,counting2,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
9t6n,speaking,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
hh2e,stroop,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
5f7t,counting1,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
u3v9,relax,False,False,True,0.0,0.0,150.0,Missing Voice,No video file; No audio file
w2t5,math,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
hh2e,video1,False,False,True,0.0,0.0,174.0,Missing Voice,No video file; No audio file
b9w0,counting3,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
8i4i,video2,True,False,True,118.0,0.0,118.0,Missing Voice,No audio file
4woj,reading,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
6k5f,reading,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
k2v7,video2,True,False,True,118.0,0.0,118.0,Missing Voice,No audio file
7h5u,breathing,True,False,True,180.0,0.0,180.0,Missing Voice,No audio file
7m3c,counting3,False,True,True,0.0,60.0,60.0,Missing Face,No video file
h8s1,breathing,True,False,True,180.0,0.0,180.0,Missing Voice,No audio file
7h5u,stroop,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
x1q3,counting2,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
cxj0,reading,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
7h5u,video1,True,False,True,174.0,0.0,174.0,Missing Voice,No audio file
h8s1,video1,True,False,True,174.0,0.0,174.0,Missing Voice,No audio file
d4n6,counting1,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
a1k9,video2,True,False,True,118.0,0.0,118.0,Missing Voice,No audio file
8i4i,speaking,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
ctzy,counting3,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
6g6y,counting3,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
2ea4,counting2,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
k2v7,speaking,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
g9j5,reading,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
r0a3,counting1,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
i9t9,reading,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
a1k9,speaking,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
r5s8,baseline,True,False,True,60.0,0.0,60.0,Missing Voice,No audio file
j9h8,reading,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
g7r2,baseline,True,False,True,60.0,0.0,60.0,Missing Voice,No audio file
hh2e,video2,False,False,True,0.0,0.0,118.0,Missing Voice,No video file; No audio file
k67g,math,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
4woj,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
6k5f,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
j1u8,counting2,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
u3v9,baseline,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
qx2o,counting3,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
b2l8,baseline,True,False,True,60.0,0.0,60.0,Missing Voice,No audio file
2z7d,baseline,True,False,True,60.0,0.0,60.0,Missing Voice,No audio file
tmvd,counting2,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
cxj0,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
ql3b,counting2,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
9txq,baseline,True,False,True,60.0,0.0,60.0,Missing Voice,No audio file
h7j3,baseline,True,False,True,60.0,0.0,60.0,Missing Voice,No audio file
7m3c,reading,False,True,True,0.0,60.0,60.0,Missing Face,No video file
hh2e,speaking,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
h8r2,math,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
g9j5,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
kycf,breathing,True,False,True,180.0,0.0,180.0,Missing Voice,No audio file
4e8r,baseline,True,False,True,60.0,0.0,60.0,Missing Voice,No audio file
chdf,breathing,True,False,True,180.0,0.0,180.0,Missing Voice,No audio file
6g6y,reading,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
kycf,stroop,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
i9t9,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
kycf,video1,True,False,True,174.0,0.0,174.0,Missing Voice,No audio file
chdf,video1,True,False,True,174.0,0.0,174.0,Missing Voice,No audio file
7h5u,speaking,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
bfl5,counting2,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
iqyg,baseline,True,False,True,60.0,0.0,60.0,Missing Voice,No audio file
uyrl,counting3,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
wssm,stroop,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
