--- StressID Physio Extraction ---
Subject: 2ea4, Task: Breathing, Frames: 540, Windows: 35
Subject: 5f7t, Task: Video1, Frames: 522, Windows: 33
Subject: 5f7t, Task: Video2, Frames: 354, Windows: 22
Subject: 6g6y, Task: Breathing, Frames: 540, Windows: 35
Subject: 6g6y, Task: Counting1, Frames: 180, Windows: 11
Subject: 6g6y, Task: Counting2, Frames: 180, Windows: 11
Subject: 6g6y, Task: Counting3, Frames: 180, Windows: 11
Subject: 6g6y, Task: Math, Frames: 180, Windows: 11
Subject: 6g6y, Task: Reading, Frames: 180, Windows: 11
Subject: 6g6y, Task: Relax, Frames: 450, Windows: 29
Subject: 6g6y, Task: Speaking, Frames: 180, Windows: 11
Subject: 6g6y, Task: Stroop, Frames: 180, Windows: 11
Subject: 6g6y, Task: Video1, Frames: 522, Windows: 33
Subject: 6g6y, Task: Video2, Frames: 354, Windows: 22
Subject: 6k5f, Task: Breathing, Frames: 540, Windows: 35
Subject: 6k5f, Task: Counting1, Frames: 180, Windows: 11
Subject: 6k5f, Task: Counting2, Frames: 180, Windows: 11
Subject: 6k5f, Task: Counting3, Frames: 180, Windows: 11
Subject: 6k5f, Task: Math, Frames: 180, Windows: 11
Subject: 6k5f, Task: Reading, Frames: 180, Windows: 11
Subject: 6k5f, Task: Relax, Frames: 450, Windows: 29
Subject: 6k5f, Task: Speaking, Frames: 180, Windows: 11
Subject: 6k5f, Task: Stroop, Frames: 180, Windows: 11
Subject: 6k5f, Task: Video1, Frames: 522, Windows: 33
Subject: 6k5f, Task: Video2, Frames: 354, Windows: 22
Subject: 71i5, Task: Breathing, Frames: 540, Windows: 35
Subject: 71i5, Task: Counting1, Frames: 180, Windows: 11
Subject: 71i5, Task: Counting2, Frames: 180, Windows: 11
Subject: 71i5, Task: Counting3, Frames: 180, Windows: 11
Subject: 71i5, Task: Math, Frames: 180, Windows: 11
Subject: 71i5, Task: Reading, Frames: 180, Windows: 11
Subject: 71i5, Task: Relax, Frames: 450, Windows: 29
Subject: 71i5, Task: Speaking, Frames: 180, Windows: 11
Subject: 71i5, Task: Stroop, Frames: 180, Windows: 11
Subject: 71i5, Task: Video1, Frames: 522, Windows: 33
Subject: 71i5, Task: Video2, Frames: 354, Windows: 22
Subject: 7h5u, Task: Breathing, Frames: 540, Windows: 35
Subject: 7h5u, Task: Counting1, Frames: 180, Windows: 11
Subject: 7h5u, Task: Counting2, Frames: 180, Windows: 11
Subject: 7h5u, Task: Counting3, Frames: 180, Windows: 11
Subject: 7h5u, Task: Math, Frames: 180, Windows: 11
Subject: 7h5u, Task: Reading, Frames: 180, Windows: 11
Subject: 7h5u, Task: Relax, Frames: 450, Windows: 29
Subject: 7h5u, Task: Speaking, Frames: 180, Windows: 11
Subject: 7h5u, Task: Stroop, Frames: 180, Windows: 11
Subject: 7h5u, Task: Video1, Frames: 522, Windows: 33
Subject: 8g4y, Task: Breathing, Frames: 540, Windows: 35
Subject: 8g4y, Task: Counting1, Frames: 180, Windows: 11
Subject: 8g4y, Task: Counting2, Frames: 180, Windows: 11
Subject: 8g4y, Task: Counting3, Frames: 180, Windows: 11
Subject: 8g4y, Task: Math, Frames: 180, Windows: 11
Subject: 8g4y, Task: Reading, Frames: 180, Windows: 11
Subject: 8g4y, Task: Relax, Frames: 450, Windows: 29
Subject: 8g4y, Task: Speaking, Frames: 180, Windows: 11
Subject: 8g4y, Task: Stroop, Frames: 180, Windows: 11
Subject: 8g4y, Task: Video1, Frames: 522, Windows: 33
Subject: 8g4y, Task: Video2, Frames: 354, Windows: 22
Subject: 8i4i, Task: Breathing, Frames: 540, Windows: 35
Subject: 8i4i, Task: Counting1, Frames: 180, Windows: 11
Subject: 8i4i, Task: Counting2, Frames: 180, Windows: 11
Subject: 8i4i, Task: Counting3, Frames: 180, Windows: 11
Subject: 8i4i, Task: Math, Frames: 180, Windows: 11
Subject: 8i4i, Task: Reading, Frames: 180, Windows: 11
Subject: 8i4i, Task: Relax, Frames: 450, Windows: 29
Subject: 8i4i, Task: Speaking, Frames: 180, Windows: 11
Subject: 8i4i, Task: Stroop, Frames: 180, Windows: 11
Subject: 8i4i, Task: Video1, Frames: 522, Windows: 33
Subject: 8i4i, Task: Video2, Frames: 354, Windows: 22
Subject: 9j3o, Task: Breathing, Frames: 540, Windows: 35
Subject: 9j3o, Task: Counting1, Frames: 180, Windows: 11
Subject: 9j3o, Task: Counting2, Frames: 180, Windows: 11
Subject: 9j3o, Task: Counting3, Frames: 180, Windows: 11
Subject: 9j3o, Task: Math, Frames: 180, Windows: 11
Subject: 9j3o, Task: Reading, Frames: 180, Windows: 11
Subject: 9j3o, Task: Relax, Frames: 450, Windows: 29
Subject: 9j3o, Task: Speaking, Frames: 180, Windows: 11
Subject: 9j3o, Task: Stroop, Frames: 180, Windows: 11
Subject: 9j3o, Task: Video1, Frames: 522, Windows: 33
Subject: 9j3o, Task: Video2, Frames: 354, Windows: 22
Subject: 9t6n, Task: Breathing, Frames: 540, Windows: 35
Subject: 9t6n, Task: Counting1, Frames: 180, Windows: 11
Subject: 9t6n, Task: Counting2, Frames: 180, Windows: 11
Subject: 9t6n, Task: Counting3, Frames: 180, Windows: 11
Subject: 9t6n, Task: Math, Frames: 180, Windows: 11
Subject: 9t6n, Task: Reading, Frames: 180, Windows: 11
Subject: 9t6n, Task: Relax, Frames: 450, Windows: 29
Subject: 9t6n, Task: Speaking, Frames: 180, Windows: 11
Subject: 9t6n, Task: Stroop, Frames: 180, Windows: 11
Subject: 9t6n, Task: Video1, Frames: 522, Windows: 33
Subject: 9t6n, Task: Video2, Frames: 354, Windows: 22
Subject: 9txq, Task: Breathing, Frames: 540, Windows: 35
Subject: 9txq, Task: Counting1, Frames: 180, Windows: 11
Subject: 9txq, Task: Counting2, Frames: 180, Windows: 11
Subject: 9txq, Task: Counting3, Frames: 180, Windows: 11
Subject: 9txq, Task: Math, Frames: 180, Windows: 11
Subject: 9txq, Task: Reading, Frames: 180, Windows: 11
Subject: 9txq, Task: Relax, Frames: 450, Windows: 29
Subject: 9txq, Task: Speaking, Frames: 180, Windows: 11
Subject: 9txq, Task: Stroop, Frames: 180, Windows: 11
Subject: 9txq, Task: Video1, Frames: 522, Windows: 33
Subject: 9txq, Task: Video2, Frames: 354, Windows: 22
Subject: a1k9, Task: Breathing, Frames: 540, Windows: 35
Subject: a1k9, Task: Counting1, Frames: 180, Windows: 11
Subject: a1k9, Task: Counting2, Frames: 180, Windows: 11
Subject: a1k9, Task: Counting3, Frames: 180, Windows: 11
Subject: a1k9, Task: Math, Frames: 180, Windows: 11
Subject: a1k9, Task: Reading, Frames: 180, Windows: 11
Subject: a1k9, Task: Relax, Frames: 450, Windows: 29
Subject: a1k9, Task: Speaking, Frames: 180, Windows: 11
Subject: a1k9, Task: Stroop, Frames: 180, Windows: 11
Subject: a1k9, Task: Video1, Frames: 522, Windows: 33
Subject: a1k9, Task: Video2, Frames: 354, Windows: 22
Subject: b2l8, Task: Breathing, Frames: 540, Windows: 35
Subject: b2l8, Task: Counting1, Frames: 180, Windows: 11
Subject: b2l8, Task: Counting2, Frames: 180, Windows: 11
Subject: b2l8, Task: Counting3, Frames: 180, Windows: 11
Subject: b2l8, Task: Math, Frames: 180, Windows: 11
Subject: b2l8, Task: Reading, Frames: 180, Windows: 11
Subject: b2l8, Task: Relax, Frames: 450, Windows: 29
Subject: b2l8, Task: Speaking, Frames: 180, Windows: 11
Subject: b2l8, Task: Stroop, Frames: 180, Windows: 11
Subject: b2l8, Task: Video1, Frames: 522, Windows: 33
Subject: b2l8, Task: Video2, Frames: 354, Windows: 22
Subject: b9w0, Task: Breathing, Frames: 540, Windows: 35
Subject: b9w0, Task: Counting1, Frames: 180, Windows: 11
Subject: b9w0, Task: Counting2, Frames: 180, Windows: 11
Subject: b9w0, Task: Counting3, Frames: 180, Windows: 11
Subject: b9w0, Task: Math, Frames: 180, Windows: 11
Subject: b9w0, Task: Reading, Frames: 180, Windows: 11
Subject: b9w0, Task: Relax, Frames: 450, Windows: 29
Subject: b9w0, Task: Speaking, Frames: 180, Windows: 11
Subject: b9w0, Task: Stroop, Frames: 180, Windows: 11
Subject: b9w0, Task: Video1, Frames: 522, Windows: 33
Subject: b9w0, Task: Video2, Frames: 354, Windows: 22
Subject: bfl5, Task: Breathing, Frames: 540, Windows: 35
Subject: bfl5, Task: Counting1, Frames: 180, Windows: 11
Subject: bfl5, Task: Counting2, Frames: 180, Windows: 11
Subject: bfl5, Task: Counting3, Frames: 180, Windows: 11
Subject: bfl5, Task: Math, Frames: 180, Windows: 11
Subject: bfl5, Task: Reading, Frames: 180, Windows: 11
Subject: bfl5, Task: Relax, Frames: 450, Windows: 29
Subject: bfl5, Task: Speaking, Frames: 180, Windows: 11
Subject: bfl5, Task: Stroop, Frames: 180, Windows: 11
Subject: bfl5, Task: Video1, Frames: 522, Windows: 33
Subject: bfl5, Task: Video2, Frames: 354, Windows: 22
Subject: c3m7, Task: Breathing, Frames: 540, Windows: 35
Subject: c3m7, Task: Counting1, Frames: 180, Windows: 11
Subject: c3m7, Task: Counting2, Frames: 180, Windows: 11
Subject: c3m7, Task: Counting3, Frames: 180, Windows: 11
Subject: c3m7, Task: Math, Frames: 180, Windows: 11
Subject: c3m7, Task: Reading, Frames: 180, Windows: 11
Subject: c3m7, Task: Relax, Frames: 450, Windows: 29
Subject: c3m7, Task: Speaking, Frames: 180, Windows: 11
Subject: c3m7, Task: Stroop, Frames: 180, Windows: 11
Subject: c3m7, Task: Video1, Frames: 522, Windows: 33
Subject: c3m7, Task: Video2, Frames: 354, Windows: 22
Subject: chdf, Task: Breathing, Frames: 540, Windows: 35
Subject: chdf, Task: Counting1, Frames: 180, Windows: 11
Subject: chdf, Task: Counting2, Frames: 180, Windows: 11
Subject: chdf, Task: Counting3, Frames: 180, Windows: 11
Subject: chdf, Task: Math, Frames: 180, Windows: 11
Subject: chdf, Task: Reading, Frames: 180, Windows: 11
Subject: chdf, Task: Relax, Frames: 450, Windows: 29
Subject: chdf, Task: Speaking, Frames: 180, Windows: 11
Subject: chdf, Task: Stroop, Frames: 180, Windows: 11
Subject: chdf, Task: Video1, Frames: 522, Windows: 33
Subject: chdf, Task: Video2, Frames: 354, Windows: 22
Subject: ctzy, Task: Breathing, Frames: 540, Windows: 35
Subject: ctzy, Task: Counting1, Frames: 180, Windows: 11
Subject: ctzy, Task: Counting2, Frames: 180, Windows: 11
Subject: ctzy, Task: Counting3, Frames: 180, Windows: 11
Subject: ctzy, Task: Math, Frames: 180, Windows: 11
Subject: ctzy, Task: Reading, Frames: 180, Windows: 11
Subject: ctzy, Task: Relax, Frames: 450, Windows: 29
Subject: ctzy, Task: Speaking, Frames: 180, Windows: 11
Subject: ctzy, Task: Stroop, Frames: 180, Windows: 11
Subject: ctzy, Task: Video1, Frames: 522, Windows: 33
Subject: ctzy, Task: Video2, Frames: 354, Windows: 22
Subject: cxj0, Task: Breathing, Frames: 540, Windows: 35
Subject: cxj0, Task: Counting1, Frames: 180, Windows: 11
Subject: cxj0, Task: Counting2, Frames: 180, Windows: 11
Subject: cxj0, Task: Counting3, Frames: 180, Windows: 11
Subject: cxj0, Task: Math, Frames: 180, Windows: 11
Subject: cxj0, Task: Reading, Frames: 180, Windows: 11
Subject: cxj0, Task: Relax, Frames: 450, Windows: 29
Subject: cxj0, Task: Speaking, Frames: 180, Windows: 11
Subject: cxj0, Task: Stroop, Frames: 180, Windows: 11
Subject: cxj0, Task: Video1, Frames: 522, Windows: 33
Subject: cxj0, Task: Video2, Frames: 354, Windows: 22
Subject: d4n6, Task: Breathing, Frames: 540, Windows: 35
Subject: d4n6, Task: Counting1, Frames: 180, Windows: 11
Subject: d4n6, Task: Counting2, Frames: 180, Windows: 11
Subject: d4n6, Task: Counting3, Frames: 180, Windows: 11
Subject: d4n6, Task: Math, Frames: 180, Windows: 11
Subject: d4n6, Task: Reading, Frames: 180, Windows: 11
Subject: d4n6, Task: Relax, Frames: 450, Windows: 29
Subject: d4n6, Task: Speaking, Frames: 180, Windows: 11
Subject: d4n6, Task: Stroop, Frames: 180, Windows: 11
Subject: d4n6, Task: Video1, Frames: 522, Windows: 33
Subject: d4n6, Task: Video2, Frames: 354, Windows: 22
Subject: e5p4, Task: Breathing, Frames: 540, Windows: 35
Subject: e5p4, Task: Counting1, Frames: 180, Windows: 11
Subject: e5p4, Task: Counting2, Frames: 180, Windows: 11
Subject: e5p4, Task: Counting3, Frames: 180, Windows: 11
Subject: e5p4, Task: Math, Frames: 180, Windows: 11
Subject: e5p4, Task: Reading, Frames: 180, Windows: 11
Subject: e5p4, Task: Relax, Frames: 450, Windows: 29
Subject: e5p4, Task: Speaking, Frames: 180, Windows: 11
Subject: e5p4, Task: Stroop, Frames: 180, Windows: 11
Subject: e5p4, Task: Video1, Frames: 522, Windows: 33
Subject: e5p4, Task: Video2, Frames: 354, Windows: 22
Subject: f6q3, Task: Breathing, Frames: 540, Windows: 35
Subject: f6q3, Task: Counting1, Frames: 180, Windows: 11
Subject: f6q3, Task: Counting2, Frames: 180, Windows: 11
Subject: f6q3, Task: Counting3, Frames: 180, Windows: 11
Subject: f6q3, Task: Math, Frames: 180, Windows: 11
Subject: f6q3, Task: Reading, Frames: 180, Windows: 11
Subject: f6q3, Task: Relax, Frames: 450, Windows: 29
Subject: f6q3, Task: Speaking, Frames: 180, Windows: 11
Subject: f6q3, Task: Stroop, Frames: 180, Windows: 11
Subject: f6q3, Task: Video1, Frames: 522, Windows: 33
Subject: f6q3, Task: Video2, Frames: 354, Windows: 22
Subject: g7r2, Task: Breathing, Frames: 540, Windows: 35
Subject: g7r2, Task: Counting1, Frames: 180, Windows: 11
Subject: g7r2, Task: Counting2, Frames: 180, Windows: 11
Subject: g7r2, Task: Counting3, Frames: 180, Windows: 11
Subject: g7r2, Task: Math, Frames: 180, Windows: 11
Subject: g7r2, Task: Reading, Frames: 180, Windows: 11
Subject: g7r2, Task: Relax, Frames: 450, Windows: 29
Subject: g7r2, Task: Speaking, Frames: 180, Windows: 11
Subject: g7r2, Task: Stroop, Frames: 180, Windows: 11
Subject: g7r2, Task: Video1, Frames: 522, Windows: 33
Subject: g7r2, Task: Video2, Frames: 354, Windows: 22
Subject: g9j5, Task: Breathing, Frames: 540, Windows: 35
Subject: g9j5, Task: Counting1, Frames: 180, Windows: 11
Subject: g9j5, Task: Counting2, Frames: 180, Windows: 11
Subject: g9j5, Task: Counting3, Frames: 180, Windows: 11
Subject: g9j5, Task: Math, Frames: 180, Windows: 11
Subject: g9j5, Task: Reading, Frames: 180, Windows: 11
Subject: g9j5, Task: Relax, Frames: 450, Windows: 29
Subject: g9j5, Task: Speaking, Frames: 180, Windows: 11
Subject: g9j5, Task: Stroop, Frames: 180, Windows: 11
Subject: g9j5, Task: Video1, Frames: 522, Windows: 33
Subject: g9j5, Task: Video2, Frames: 354, Windows: 22
Subject: h7j3, Task: Breathing, Frames: 540, Windows: 35
Subject: h7j3, Task: Counting1, Frames: 180, Windows: 11
Subject: h7j3, Task: Counting2, Frames: 180, Windows: 11
Subject: h7j3, Task: Counting3, Frames: 180, Windows: 11
Subject: h7j3, Task: Math, Frames: 180, Windows: 11
Subject: h7j3, Task: Reading, Frames: 180, Windows: 11
Subject: h7j3, Task: Speaking, Frames: 180, Windows: 11
Subject: h7j3, Task: Stroop, Frames: 180, Windows: 11
Subject: h7j3, Task: Video1, Frames: 522, Windows: 33
Subject: h7j3, Task: Video2, Frames: 354, Windows: 22
Subject: h8r2, Task: Breathing, Frames: 540, Windows: 35
Subject: h8r2, Task: Counting1, Frames: 180, Windows: 11
Subject: h8r2, Task: Counting2, Frames: 180, Windows: 11
Subject: h8r2, Task: Counting3, Frames: 180, Windows: 11
Subject: h8r2, Task: Math, Frames: 180, Windows: 11
Subject: h8r2, Task: Reading, Frames: 180, Windows: 11
Subject: h8r2, Task: Relax, Frames: 450, Windows: 29
Subject: h8r2, Task: Speaking, Frames: 180, Windows: 11
Subject: h8r2, Task: Stroop, Frames: 180, Windows: 11
Subject: h8r2, Task: Video1, Frames: 522, Windows: 33
Subject: h8r2, Task: Video2, Frames: 354, Windows: 22
Subject: h8s1, Task: Breathing, Frames: 540, Windows: 35
Subject: h8s1, Task: Counting1, Frames: 180, Windows: 11
Subject: h8s1, Task: Counting2, Frames: 180, Windows: 11
Subject: h8s1, Task: Counting3, Frames: 180, Windows: 11
Subject: h8s1, Task: Math, Frames: 180, Windows: 11
Subject: h8s1, Task: Reading, Frames: 180, Windows: 11
Subject: h8s1, Task: Relax, Frames: 450, Windows: 29
Subject: h8s1, Task: Speaking, Frames: 180, Windows: 11
Subject: h8s1, Task: Stroop, Frames: 180, Windows: 11
Subject: h8s1, Task: Video1, Frames: 522, Windows: 33
Subject: h8s1, Task: Video2, Frames: 354, Windows: 22
Subject: i9t9, Task: Breathing, Frames: 540, Windows: 35
Subject: i9t9, Task: Counting1, Frames: 180, Windows: 11
Subject: i9t9, Task: Counting2, Frames: 180, Windows: 11
Subject: i9t9, Task: Counting3, Frames: 180, Windows: 11
Subject: i9t9, Task: Math, Frames: 180, Windows: 11
Subject: i9t9, Task: Reading, Frames: 180, Windows: 11
Subject: i9t9, Task: Relax, Frames: 450, Windows: 29
Subject: i9t9, Task: Speaking, Frames: 180, Windows: 11
Subject: i9t9, Task: Stroop, Frames: 180, Windows: 11
Subject: i9t9, Task: Video1, Frames: 522, Windows: 33
Subject: i9t9, Task: Video2, Frames: 354, Windows: 22
Subject: iqyg, Task: Breathing, Frames: 540, Windows: 35
Subject: iqyg, Task: Counting1, Frames: 180, Windows: 11
Subject: iqyg, Task: Counting2, Frames: 180, Windows: 11
Subject: iqyg, Task: Counting3, Frames: 180, Windows: 11
Subject: iqyg, Task: Math, Frames: 180, Windows: 11
Subject: iqyg, Task: Reading, Frames: 180, Windows: 11
Subject: iqyg, Task: Relax, Frames: 450, Windows: 29
Subject: iqyg, Task: Speaking, Frames: 180, Windows: 11
Subject: iqyg, Task: Stroop, Frames: 180, Windows: 11
Subject: iqyg, Task: Video1, Frames: 522, Windows: 33
Subject: iqyg, Task: Video2, Frames: 354, Windows: 22
Subject: j9h8, Task: Breathing, Frames: 540, Windows: 35
Subject: j9h8, Task: Counting1, Frames: 180, Windows: 11
Subject: j9h8, Task: Counting2, Frames: 180, Windows: 11
Subject: j9h8, Task: Counting3, Frames: 180, Windows: 11
Subject: j9h8, Task: Math, Frames: 180, Windows: 11
Subject: j9h8, Task: Reading, Frames: 180, Windows: 11
Subject: j9h8, Task: Relax, Frames: 450, Windows: 29
Subject: j9h8, Task: Speaking, Frames: 180, Windows: 11
Subject: j9h8, Task: Stroop, Frames: 180, Windows: 11
Subject: j9h8, Task: Video1, Frames: 522, Windows: 33
Subject: j9h8, Task: Video2, Frames: 354, Windows: 22
Subject: k2v7, Task: Breathing, Frames: 540, Windows: 35
Subject: k2v7, Task: Counting1, Frames: 180, Windows: 11
Subject: k2v7, Task: Counting2, Frames: 180, Windows: 11
Subject: k2v7, Task: Counting3, Frames: 180, Windows: 11
Subject: k2v7, Task: Math, Frames: 180, Windows: 11
Subject: k2v7, Task: Reading, Frames: 180, Windows: 11
Subject: k2v7, Task: Relax, Frames: 450, Windows: 29
Subject: k2v7, Task: Speaking, Frames: 180, Windows: 11
Subject: k2v7, Task: Stroop, Frames: 180, Windows: 11
Subject: k2v7, Task: Video1, Frames: 522, Windows: 33
Subject: k2v7, Task: Video2, Frames: 354, Windows: 22
Subject: k67g, Task: Breathing, Frames: 540, Windows: 35
Subject: k67g, Task: Counting1, Frames: 180, Windows: 11
Subject: k67g, Task: Counting2, Frames: 180, Windows: 11
Subject: k67g, Task: Counting3, Frames: 180, Windows: 11
Subject: k67g, Task: Math, Frames: 180, Windows: 11
Subject: k67g, Task: Reading, Frames: 180, Windows: 11
Subject: k67g, Task: Relax, Frames: 450, Windows: 29
Subject: k67g, Task: Speaking, Frames: 180, Windows: 11
Subject: k67g, Task: Stroop, Frames: 180, Windows: 11
Subject: k67g, Task: Video1, Frames: 522, Windows: 33
Subject: k67g, Task: Video2, Frames: 354, Windows: 22
Subject: kkf5, Task: Breathing, Frames: 540, Windows: 35
Subject: kkf5, Task: Counting1, Frames: 180, Windows: 11
Subject: kkf5, Task: Counting2, Frames: 180, Windows: 11
Subject: kkf5, Task: Counting3, Frames: 180, Windows: 11
Subject: kkf5, Task: Math, Frames: 180, Windows: 11
Subject: kkf5, Task: Reading, Frames: 180, Windows: 11
Subject: kkf5, Task: Relax, Frames: 450, Windows: 29
Subject: kkf5, Task: Speaking, Frames: 180, Windows: 11
Subject: kkf5, Task: Stroop, Frames: 180, Windows: 11
Subject: kkf5, Task: Video1, Frames: 522, Windows: 33
Subject: kkf5, Task: Video2, Frames: 354, Windows: 22
Subject: kycf, Task: Breathing, Frames: 540, Windows: 35
Subject: kycf, Task: Counting1, Frames: 180, Windows: 11
Subject: kycf, Task: Counting2, Frames: 180, Windows: 11
Subject: kycf, Task: Counting3, Frames: 180, Windows: 11
Subject: kycf, Task: Math, Frames: 180, Windows: 11
Subject: kycf, Task: Reading, Frames: 180, Windows: 11
Subject: kycf, Task: Relax, Frames: 450, Windows: 29
Subject: kycf, Task: Speaking, Frames: 180, Windows: 11
Subject: kycf, Task: Stroop, Frames: 180, Windows: 11
Subject: kycf, Task: Video1, Frames: 522, Windows: 33
Subject: kycf, Task: Video2, Frames: 354, Windows: 22
Subject: m8g5, Task: Breathing, Frames: 540, Windows: 35
Subject: m8g5, Task: Counting1, Frames: 180, Windows: 11
Subject: m8g5, Task: Counting2, Frames: 180, Windows: 11
Subject: m8g5, Task: Counting3, Frames: 180, Windows: 11
Subject: m8g5, Task: Math, Frames: 180, Windows: 11
Subject: m8g5, Task: Reading, Frames: 180, Windows: 11
Subject: m8g5, Task: Relax, Frames: 450, Windows: 29
Subject: m8g5, Task: Speaking, Frames: 180, Windows: 11
Subject: m8g5, Task: Stroop, Frames: 180, Windows: 11
Subject: m8g5, Task: Video1, Frames: 522, Windows: 33
Subject: m8g5, Task: Video2, Frames: 354, Windows: 22
Subject: p9i3, Task: Breathing, Frames: 540, Windows: 35
Subject: p9i3, Task: Counting1, Frames: 180, Windows: 11
Subject: p9i3, Task: Counting2, Frames: 180, Windows: 11
Subject: p9i3, Task: Counting3, Frames: 180, Windows: 11
Subject: p9i3, Task: Math, Frames: 180, Windows: 11
Subject: p9i3, Task: Reading, Frames: 180, Windows: 11
Subject: p9i3, Task: Relax, Frames: 450, Windows: 29
Subject: p9i3, Task: Speaking, Frames: 180, Windows: 11
Subject: p9i3, Task: Stroop, Frames: 180, Windows: 11
Subject: p9i3, Task: Video1, Frames: 522, Windows: 33
Subject: p9i3, Task: Video2, Frames: 354, Windows: 22
Subject: qw5t, Task: Breathing, Frames: 540, Windows: 35
Subject: qw5t, Task: Counting1, Frames: 180, Windows: 11
Subject: qw5t, Task: Counting2, Frames: 180, Windows: 11
Subject: qw5t, Task: Counting3, Frames: 180, Windows: 11
Subject: qw5t, Task: Math, Frames: 180, Windows: 11
